49  56  1.18647  0.0026487  13.6  12.4667
56  64  1.1206  0.00240359  13.9  12.4245
64  74  1.03948  0.00227979  14.2  12.3636
74  84  1.20539  0.00196986  14.5  13.0481
84  97  1.0939  0.00422377  14.8  13.1507
97  114  1.09287  0.00937068  15.3  12.7646
114  133  1.16532  0.00646162  15.7  12.5005
133  153  1.13642  0.011733  16.2  12.3078
153  174  1.08147  0.00637273  16.6  12.2922
174  196  1.08205  0.00550997  17  11.9294
196  220  1.06157  0.00727091  17.4  11.7597
220  245  1.0827  0.00994974  17.7  12.1247
245  272  1.04973  0.0130222  17.9  11.8228
272  300  1.04231  0.0171681  18.1  12.0677
300  330  1.02548  0.0222335  18.2  12.4925
330  362  0.988005  0.0280791  18.2  12.3762
362  395  1.1059  0.0400976  18.2  12.521
395  430  1.14098  0.0537175  18.2  13.1158
430  468  0.952636  0.0593453  18.2  18.2331
